23847 intern Strings occupying 2787752 bytes.
class_loader	classes	bytes	parent_loader	alive?	type
0x00002b445c95ab60	1	3080	0x00002b445bee3a40	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d7698	14	133200	0x00002b445bf56f98	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445d3352e0	1	3080	0x00002b445bfcc7e8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c957f98	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be5c5a8	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445c01a238	26	379272	0x00002b445c01a2c0	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c95d478	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f962d8	1	3080	0x00002b445bee62d0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f94820	1	3080	0x00002b445bee62d0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f406b0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f42c40	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f05b88	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a701a980	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c9581a0	1	3080	0x00002b445be5f190	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95b2f0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf7bfe0	52	678856	0x00002b445bf7c068	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445bf8ec88	103	1231952	0x00002b445bf8ed10	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b44a6d9f020	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c956e70	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c02d328	14	67528	0x00002b445ba956d0	dead	com/thoughtworks/xstream/core/util/CompositeClassLoader@0x00002b444c344828
0x00002b445e61e268	1	3096	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf56f98	60	679888	0x00002b445bf57020	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c9589c0	1	3080	0x00002b445bfa11d8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445dd01eb8	1	3096	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95dc30	1	3080	0x00002b445bfc5c50	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445dd85260	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bfcec28	61	540816	0x00002b445bfcecb0	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445ea456d8	1	3176	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c9577c8	1	3080	0x00002b445bee3a40	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be9a300	54	374448	0x00002b445be9a388	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b44a6f00608	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a701def0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6ff33c8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be9cd30	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445bfe4b30	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445bf38c20	59	689800	0x00002b445bf38ca8	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c959040	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95b220	1	1920	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f678970	1	3096	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c01a2c0	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445f29ef78	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6fcf8e8	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8456a0	8	87712	0x00002b445c01a238	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445e426f90	0	0	0x00002b445ba956d0	dead	com/thoughtworks/xstream/core/util/ClassLoaderReference@0x00002b444c31a570
0x00002b445f67ba28	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bee71c8	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445bc615e8	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b44a6ff6e90	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f492428	1	3112	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bfb2fc8	25	311304	0x00002b445bfb3050	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445bf5bb48	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445c9598c8	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a7063f78	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a70604b0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f613f08	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f91d38	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445ddbaa18	1	3080	0x00002b445be52088	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f2a7188	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6ff1910	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a701f450	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d3a40	8	89632	0x00002b445bf38c20	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
