INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.util.CharacterEncodingFilter.doFilter(CharacterEncodingFilter.java:81)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1474)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:499)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:137)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:533)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:231)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1086)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:428)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:193)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1020)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:135)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:116)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.Server.handle(Server.java:370)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.AbstractHttpConnection.handleRequest(AbstractHttpConnection.java:489)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.AbstractHttpConnection.headerComplete(AbstractHttpConnection.java:949)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.AbstractHttpConnection$RequestHandler.headerComplete(AbstractHttpConnection.java:1011)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:644)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.http.HttpParser.parseAvailable(HttpParser.java:235)
